UserID,UTC_Timestamp,SA_Timestamp,View_Year,View_Month,View_Month_Num,View_Day,View_Day_Num,Channel,Duration_Start,Duration_Minutes,Age,Age_Group,Gender,Race,Province,Day_classification
930883,2016-03-31T18:42:00.000Z,2016-03-31T20:42:00.000Z,2016,Mar,3,Thu,5,Boomerang,1899-12-31T00:00:18.000Z,42459,28,25-34,male,indian_asian,Gauteng,Weekday
882188,2016-03-31T18:42:00.000Z,2016-03-31T20:42:00.000Z,2016,Mar,3,Thu,5,Boomerang,1899-12-31T00:02:42.000Z,42459,37,35-44,female,white,Gauteng,Weekday
821626,2016-03-31T18:39:00.000Z,2016-03-31T20:39:00.000Z,2016,Mar,3,Thu,5,Cartoon Network,1899-12-31T00:01:25.000Z,42459,0,Under 18,None,None,None,Weekday
940476,2016-03-31T18:38:00.000Z,2016-03-31T20:38:00.000Z,2016,Mar,3,Thu,5,SuperSport Blitz,1899-12-31T00:21:38.000Z,42459,40,35-44,male,black,Mpumalanga,Weekday
2205425,2016-03-31T18:02:00.000Z,2016-03-31T20:02:00.000Z,2016,Mar,3,Thu,5,SuperSport Blitz,1899-12-31T00:00:40.000Z,42459,49,45-54,male,coloured,Western Cape,Weekday
930955,2016-03-31T17:58:00.000Z,2016-03-31T19:58:00.000Z,2016,Mar,3,Thu,5,CNN,1899-12-31T00:02:02.000Z,42459,36,35-44,male,black,Gauteng,Weekday
771867,2016-03-31T17:57:00.000Z,2016-03-31T19:57:00.000Z,2016,Mar,3,Thu,5,Africa Magic,1899-12-31T00:00:56.000Z,42459,14,Under 18,male,black,Gauteng,Weekday
940427,2016-03-31T17:55:00.000Z,2016-03-31T19:55:00.000Z,2016,Mar,3,Thu,5,Africa Magic,1899-12-31T00:00:25.000Z,42459,24,18-24,male,indian_asian,Gauteng,Weekday
939659,2016-03-31T17:51:00.000Z,2016-03-31T19:51:00.000Z,2016,Mar,3,Thu,5,Trace TV,1899-12-31T00:02:18.000Z,42459,21,18-24,male,black,Limpopo,Weekday
772980,2016-03-31T17:50:00.000Z,2016-03-31T19:50:00.000Z,2016,Mar,3,Thu,5,Cartoon Network,1899-12-31T00:02:41.000Z,42459,25,25-34,male,black,Limpopo,Weekday
